ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Total de puntos;Comentarios del cuestionario;Hora de publicación de la calificación;Sexo;Puntos: Sexo;Comentarios: Sexo;Año de nacimiento;Puntos: Año de nacimiento;Comentarios: Año de nacimiento;Lugar de residencia (Código Postal);Puntos: Lugar de residencia (Código Postal);Comentarios: Lugar de residencia (Código Postal);¿Dónde has visto publicidad relacionada con apuestas?;Puntos: ¿Dónde has visto publicidad relacionada con apuestas?;Comentarios: ¿Dónde has visto publicidad relacionada con apuestas?;¿Hay alguna casa de apuestas en tu camino habitual?;Puntos: ¿Hay alguna casa de apuestas en tu camino habitual?;Comentarios: ¿Hay alguna casa de apuestas en tu camino habitual?;¿Conoces algún lugar donde apostar en tu pueblo?;Puntos: ¿Conoces algún lugar donde apostar en tu pueblo?;Comentarios: ¿Conoces algún lugar donde apostar en tu pueblo?;¿Cuántos días apuestas a la semana físicamente?;Puntos: ¿Cuántos días apuestas a la semana físicamente?;Comentarios: ¿Cuántos días apuestas a la semana físicamente?;¿Qué app utilizas para apostar de forma online?;Puntos: ¿Qué app utilizas para apostar de forma online?;Comentarios: ¿Qué app utilizas para apostar de forma online?;¿Cuántos días a la semana apuestas online?;Puntos: ¿Cuántos días a la semana apuestas online?;Comentarios: ¿Cuántos días a la semana apuestas online?;¿Has apostado alguna vez?;Puntos: ¿Has apostado alguna vez?;Comentarios: ¿Has apostado alguna vez?;¿A qué apuestas, ya sea online o físicamente?;Puntos: ¿A qué apuestas, ya sea online o físicamente?;Comentarios: ¿A qué apuestas, ya sea online o físicamente?;¿Hasta ahora, consideras que has ganado o perdido dinero apostando?;Puntos: ¿Hasta ahora, consideras que has ganado o perdido dinero apostando?;Comentarios: ¿Hasta ahora, consideras que has ganado o perdido dinero apostando?;¿Cómo ha influido la pandemia sobre tus hábitos de apostar?;Puntos: ¿Cómo ha influido la pandemia sobre tus hábitos de apostar?;Comentarios: ¿Cómo ha influido la pandemia sobre tus hábitos de apostar?;¿Cuánto dinero tienes pensado apostar la próxima semana?;Puntos: ¿Cuánto dinero tienes pensado apostar la próxima semana?;Comentarios: ¿Cuánto dinero tienes pensado apostar la próxima semana?
3;12/10/20 17:11:30;12/10/20 17:12:37;anonymous;;0;;;Hombre;0;;2002;;;31200;;;"En Internet;";;;Sí;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;1;;;"Codere;888 Sport;";;;0;;;Sí;;;"Fútbol;";;;Prácticamente me he quedado igual (+- 3€);;;He empezado a apostar;;;0;;
4;12/10/20 17:11:41;12/10/20 17:12:55;anonymous;;;;;Hombre;;;2002;;;31004;;;"Por las calles;En Internet;En la televisión;En la radio;En equipajes deportivos;";;;Sí;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;Sí, otra;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;
5;12/10/20 17:11:27;12/10/20 17:13:33;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;Por las calles;En equipajes deportivos;";;;Sí;;;"Sí, en un bar con máquina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;Sí;;;"Fútbol;";;;He perdido;;;Sigo sin apostar, al igual que antes;;;0;;
6;12/10/20 17:15:38;12/10/20 17:17:55;anonymous;;;;;Hombre;;;2002;;;2006;;;"En equipajes deportivos;En la radio;En la televisión;En Internet;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;Sí;;;"Fútbol;";;;He perdido;;;Sigo sin apostar, al igual que antes;;;0;;
7;12/10/20 17:15:17;12/10/20 17:18:44;anonymous;;;;;Hombre;;;2002;;;46780;;;"En la televisión;";;;Sí;;;"Sí, en un bar con máquina de apuestas;";;;7;;;"Bet365;";;;7;;;Sí;;;"Fútbol;Básket;Tenis;Tenis Mesa;Snooker;Dardos;";;;He perdido;;;Ahora apuesto más que antes;;;0;;
8;12/10/20 17:15:01;12/10/20 17:20:04;anonymous;;;;;Hombre;;;2002;;;46780;;;"Por las calles;En Internet;En la televisión;En la radio;En equipajes deportivos;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;2;;;"Bet365;Codere;";;;6;;;Sí;;;"Fútbol;Básket;Tenis;";;;He perdido;;;Ahora apuesto más que antes;;;10;;
9;12/10/20 17:19:47;12/10/20 17:21:09;anonymous;;;;;Hombre;;;2002;;;37008;;;"En la televisión;En Internet;Por las calles;En equipajes deportivos;En la radio;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;1;;;"No apuesto de forma online;";;;0;;;Sí;;;"Fútbol;";;;He perdido;;;He empezado a apostar;;;0;;
10;12/10/20 17:18:40;12/10/20 17:21:23;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;En la televisión;";;;Sí;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Fútbol;";;;No apuesto, así que nada;;;Sigo sin apostar, al igual que antes;;;0;;
11;12/10/20 17:20:25;12/10/20 17:22:45;anonymous;;;;;Hombre;;;2002;;;47861;;;"En equipajes deportivos;Por las calles;En Internet;En la televisión;";;;Sí;;;"Sí, en una casa de apuestas;Sí, en un bar con máquina de apuestas;";;;3;;;"William Hill;BetFair;";;;1;;;Sí;;;"Fútbol;";;;He ganado;;;Ahora apuesto más que antes;;;2;;
12;12/10/20 17:18:59;12/10/20 17:22:50;anonymous;;;;;Hombre;;;2002;;;31200;;;"En la televisión;En Internet;En la radio;";;;Sí;;;"Sí, en un bar con máquina de apuestas;Sí, en una casa de apuestas;";;;1;;;"Codere;";;;0;;;Sí;;;"Fútbol;";;;Prácticamente me he quedado igual (+- 3€);;;He dejado de apostar;;;2;;
