Sexo,A¤o de nacimiento,Lugar de residencia (C¢digo Postal),¨D¢nde has visto publicidad relacionada con apuestas?,¨Hay alguna casa de apuestas en tu camino habitual?,¨Conoces alg£n lugar donde apostar en tu pueblo?,¨Cu ntos d¡as apuestas a la semana f¡sicamente?,¨Qu‚ app utilizas para apostar de forma online?,¨Cu ntos d¡as a la semana apuestas online?,¨Has apostado alguna vez?,¨A qu‚ apuestas- ya sea online o f¡sicamente?,¨Hasta ahora- consideras que has ganado o perdido dinero apostando?,¨C¢mo ha influido la pandemia sobre tus h bitos de apostar?,¨Cu nto dinero tienes pensado apostar la pr¢xima semana?
Hombre,2002,31200,En Internet-,S¡,S¡- en un bar con m quina de apuestas-S¡- en una casa de apuestas-,1,Codere-888 Sport-,0,S¡,F£tbol-,Pr cticamente me he quedado igual (+- 3?),He empezado a apostar,0
Hombre,2002,31004,Por las calles-En Internet-En la televisi¢n-En la radio-En equipajes deportivos-,S¡,S¡- en un bar con m quina de apuestas-S¡- en una casa de apuestas-S¡- otra-,0,No apuesto de forma online-,0,No,Otros Juegos-,No apuesto- as¡ que nada,Sigo sin apostar- al igual que antes,0
Hombre,2002,31200,En Internet-Por las calles-En equipajes deportivos-,S¡,S¡- en un bar con m quina de apuestas-,0,No apuesto de forma online-,0,S¡,F£tbol-,He perdido,Sigo sin apostar- al igual que antes,0
Hombre,2002,2006,En equipajes deportivos-En la radio-En la televisi¢n-En Internet-,S¡,S¡- en una casa de apuestas-S¡- en un bar con m quina de apuestas-,0,No apuesto de forma online-,0,S¡,F£tbol-,He perdido,Sigo sin apostar- al igual que antes,0
Hombre,2002,46780,En la televisi¢n-,S¡,S¡- en un bar con m quina de apuestas-,7,Bet365-,7,S¡,F£tbol-B sket-Tenis-Tenis Mesa-Snooker-Dardos-,He perdido,Ahora apuesto m s que antes,0
Hombre,2002,46780,Por las calles-En Internet-En la televisi¢n-En la radio-En equipajes deportivos-,S¡,S¡- en una casa de apuestas-S¡- en un bar con m quina de apuestas-,2,Bet365-Codere-,6,S¡,F£tbol-B sket-Tenis-,He perdido,Ahora apuesto m s que antes,10
Hombre,2002,37008,En la televisi¢n-En Internet-Por las calles-En equipajes deportivos-En la radio-,S¡,S¡- en una casa de apuestas-S¡- en un bar con m quina de apuestas-,1,No apuesto de forma online-,0,S¡,F£tbol-,He perdido,He empezado a apostar,0
Hombre,2002,31200,En Internet-En la televisi¢n-,S¡,S¡- en un bar con m quina de apuestas-S¡- en una casa de apuestas-,0,No apuesto de forma online-,0,No,F£tbol-,No apuesto- as¡ que nada,Sigo sin apostar- al igual que antes,0
Hombre,2002,47861,En equipajes deportivos-Por las calles-En Internet-En la televisi¢n-,S¡,S¡- en una casa de apuestas-S¡- en un bar con m quina de apuestas-,3,William Hill-BetFair-,1,S¡,F£tbol-,He ganado,Ahora apuesto m s que antes,2
Hombre,2002,31200,En la televisi¢n-En Internet-En la radio-,S¡,S¡- en un bar con m quina de apuestas-S¡- en una casa de apuestas-,1,Codere-,0,S¡,F£tbol-,Pr cticamente me he quedado igual (+- 3?),He dejado de apostar,2
