ID;Hora de inicio;Hora de finalizaci¢n;Correo electrónico;Nombre;Total de puntos;Comentarios del cuestionario;Hora de publicaci¢n de la calificaci¢n;Sexo;Puntos: Sexo;Comentarios: Sexo;A¤o de nacimiento;Puntos: A¤o de nacimiento;Comentarios: A¤o de nacimiento;Lugar de residencia (C¢digo Postal);Puntos: Lugar de residencia (C¢digo Postal);Comentarios: Lugar de residencia (C¢digo Postal);¨D¢nde has visto publicidad relacionada con apuestas?;Puntos: ¨D¢nde has visto publicidad relacionada con apuestas?;Comentarios: ¨D¢nde has visto publicidad relacionada con apuestas?;¨Hay alguna casa de apuestas en tu camino habitual?;Puntos: ¨Hay alguna casa de apuestas en tu camino habitual?;Comentarios: ¨Hay alguna casa de apuestas en tu camino habitual?;¨Conoces alg£n lugar donde apostar en tu pueblo?;Puntos: ¨Conoces alg£n lugar donde apostar en tu pueblo?;Comentarios: ¨Conoces alg£n lugar donde apostar en tu pueblo?;¨Cu ntos d¡as apuestas a la semana f¡sicamente?;Puntos: ¨Cu ntos d¡as apuestas a la semana f¡sicamente?;Comentarios: ¨Cu ntos d¡as apuestas a la semana f¡sicamente?;¨Qu‚ app utilizas para apostar de forma online?;Puntos: ¨Qu‚ app utilizas para apostar de forma online?;Comentarios: ¨Qu‚ app utilizas para apostar de forma online?;¨Cu ntos d¡as a la semana apuestas online?;Puntos: ¨Cu ntos d¡as a la semana apuestas online?;Comentarios: ¨Cu ntos d¡as a la semana apuestas online?;¨Has apostado alguna vez?;Puntos: ¨Has apostado alguna vez?;Comentarios: ¨Has apostado alguna vez?;¨A qu‚ apuestas, ya sea online o f¡sicamente?;Puntos: ¨A qu‚ apuestas, ya sea online o f¡sicamente?;Comentarios: ¨A qu‚ apuestas, ya sea online o f¡sicamente?;¨Hasta ahora, consideras que has ganado o perdido dinero apostando?;Puntos: ¨Hasta ahora, consideras que has ganado o perdido dinero apostando?;Comentarios: ¨Hasta ahora, consideras que has ganado o perdido dinero apostando?;¨C¢mo ha influido la pandemia sobre tus h bitos de apostar?;Puntos: ¨C¢mo ha influido la pandemia sobre tus h bitos de apostar?;Comentarios: ¨C¢mo ha influido la pandemia sobre tus h bitos de apostar?;¨Cu nto dinero tienes pensado apostar la pr¢xima semana?;Puntos: ¨Cu nto dinero tienes pensado apostar la pr¢xima semana?;Comentarios: ¨Cu nto dinero tienes pensado apostar la pr¢xima semana?
3;12/10/20 17:11:30;12/10/20 17:12:37;anonymous;;0;;;Hombre;0;;2002;;;31200;;;"En Internet;";;;S¡;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;1;;;"Codere;888 Sport;";;;0;;;S¡;;;"F£tbol;";;;Pr cticamente me he quedado igual (+- 3?);;;He empezado a apostar;;;0;;
4;12/10/20 17:11:41;12/10/20 17:12:55;anonymous;;;;;Hombre;;;2002;;;31004;;;"Por las calles;En Internet;En la televisi¢n;En la radio;En equipajes deportivos;";;;S¡;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;S¡, otra;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
5;12/10/20 17:11:27;12/10/20 17:13:33;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;Por las calles;En equipajes deportivos;";;;S¡;;;"S¡, en un bar con m quina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;S¡;;;"F£tbol;";;;He perdido;;;Sigo sin apostar, al igual que antes;;;0;;
6;12/10/20 17:15:38;12/10/20 17:17:55;anonymous;;;;;Hombre;;;2002;;;2006;;;"En equipajes deportivos;En la radio;En la televisi¢n;En Internet;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;S¡;;;"F£tbol;";;;He perdido;;;Sigo sin apostar, al igual que antes;;;0;;
7;12/10/20 17:15:17;12/10/20 17:18:44;anonymous;;;;;Hombre;;;2002;;;46780;;;"En la televisi¢n;";;;S¡;;;"S¡, en un bar con m quina de apuestas;";;;7;;;"Bet365;";;;7;;;S¡;;;"F£tbol;B sket;Tenis;Tenis Mesa;Snooker;Dardos;";;;He perdido;;;Ahora apuesto m s que antes;;;0;;
8;12/10/20 17:15:01;12/10/20 17:20:04;anonymous;;;;;Hombre;;;2002;;;46780;;;"Por las calles;En Internet;En la televisi¢n;En la radio;En equipajes deportivos;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;2;;;"Bet365;Codere;";;;6;;;S¡;;;"F£tbol;B sket;Tenis;";;;He perdido;;;Ahora apuesto m s que antes;;;10;;
9;12/10/20 17:19:47;12/10/20 17:21:09;anonymous;;;;;Hombre;;;2002;;;37008;;;"En la televisi¢n;En Internet;Por las calles;En equipajes deportivos;En la radio;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;1;;;"No apuesto de forma online;";;;0;;;S¡;;;"F£tbol;";;;He perdido;;;He empezado a apostar;;;0;;
10;12/10/20 17:18:40;12/10/20 17:21:23;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;En la televisi¢n;";;;S¡;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"F£tbol;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
11;12/10/20 17:20:25;12/10/20 17:22:45;anonymous;;;;;Hombre;;;2002;;;47861;;;"En equipajes deportivos;Por las calles;En Internet;En la televisi¢n;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;3;;;"William Hill;BetFair;";;;1;;;S¡;;;"F£tbol;";;;He ganado;;;Ahora apuesto m s que antes;;;2;;
12;12/10/20 17:18:59;12/10/20 17:22:50;anonymous;;;;;Hombre;;;2002;;;31200;;;"En la televisi¢n;En Internet;En la radio;";;;S¡;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;1;;;"Codere;";;;0;;;S¡;;;"F£tbol;";;;Pr cticamente me he quedado igual (+- 3?);;;He dejado de apostar;;;2;;
13;12/10/20 17:21:54;12/10/20 17:23:25;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;Por las calles;En la televisi¢n;En equipajes deportivos;";;;S¡;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
14;12/10/20 17:22:54;12/10/20 17:26:09;anonymous;;;;;Hombre;;;2002;;;46780;;;"En equipajes deportivos;En la radio;En la televisi¢n;En Internet;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;2;;;"Bet365;";;;0;;;S¡;;;"F£tbol;";;;He ganado;;;Ahora apuesto m s que antes;;;5;;
15;12/10/20 17:26:31;12/10/20 17:29:23;anonymous;;;;;Hombre;;;2002;;;40006;;;"En Internet;En la televisi¢n;En equipajes deportivos;";;;No;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;2;;;"No apuesto de forma online;";;;0;;;S¡;;;"F£tbol;";;;He ganado;;;Ahora apuesto m s que antes;;;0;;
16;12/10/20 17:28:31;12/10/20 17:30:40;anonymous;;;;;Hombre;;;2002;;;46007;;;"Por las calles;En Internet;En la televisi¢n;En equipajes deportivos;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
17;12/10/20 17:41:02;12/10/20 17:48:55;anonymous;;;;;Hombre;;;2002;;;46780;;;"En la televisi¢n;En equipajes deportivos;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Otros Juegos;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
18;12/10/20 17:59:43;12/10/20 18:01:17;anonymous;;;;;Mujer;;;2002;;;31200;;;"En Internet;En la televisi¢n;En equipajes deportivos;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;3;;;"No apuesto de forma online;";;;0;;;S¡;;;"F£tbol;";;;He ganado;;;He empezado a apostar;;;0;;
19;12/10/20 18:04:09;12/10/20 18:08:48;anonymous;;;;;Hombre;;;2002;;;31200;;;"En Internet;En la televisi¢n;En equipajes deportivos;";;;S¡;;;"No;";;;1;;;"No apuesto de forma online;";;;0;;;S¡;;;"Ruleta;";;;Pr cticamente me he quedado igual (+- 3?);;;Ahora apuesto menos que antes;;;2;;
20;12/10/20 18:25:07;12/10/20 18:27:30;anonymous;;;;;Hombre;;;2002;;;31200;;;"Nunca he visto publicidad sobre este tema;";;;S¡;;;"S¡, en un bar con m quina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;S¡;;;"F£tbol;Tenis;";;;He ganado;;;Ahora apuesto menos que antes;;;0;;
21;12/10/20 20:08:37;12/10/20 20:10:20;anonymous;;;;;Hombre;;;2002;;;46780;;;"Por las calles;En Internet;En la televisi¢n;En la radio;En equipajes deportivos;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;1;;;"Bet365;Codere;Bwin;William Hill;";;;3;;;S¡;;;"F£tbol;B sket;Tenis;";;;Pr cticamente me he quedado igual (+- 3?);;;Ahora apuesto menos que antes;;;2;;
22;12/10/20 20:19:15;12/10/20 20:23:06;anonymous;;;;;Otro;;;2002;;;31200;;;"En la televisi¢n;En Internet;En la radio;En equipajes deportivos;";;;S¡;;;"S¡, en una casa de apuestas;S¡, en un bar con m quina de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"Pocker;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
23;12/10/20 21:25:49;12/10/20 21:30:11;anonymous;;;;;Mujer;;;2002;;;46015;;;"En la televisi¢n;En Internet;En equipajes deportivos;";;;No;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;S¡;;;"No apuesto;";;;He ganado;;;Sigo sin apostar, al igual que antes;;;0;;
24;12/11/20 20:46:03;12/11/20 20:47:01;anonymous;;;;;Hombre;;;2002;;;46780;;;"Nunca he visto publicidad sobre este tema;En Internet;En la radio;";;;No;;;"No;S¡, en una casa de apuestas;";;;4;;;"No apuesto de forma online;William Hill;Sportium;";;;4;;;No;;;"No apuesto;Tenis;Otras competiciones deportivas;Otros Juegos;";;;He perdido;;;Ahora apuesto menos que antes;;;45;;
25;12/11/20 20:48:32;12/11/20 20:49:09;anonymous;;;;;Hombre;;;2002;;;46780;;;"Nunca he visto publicidad sobre este tema;En Internet;En la radio;";;;No;;;"No;S¡, en una casa de apuestas;";;;4;;;"No apuesto de forma online;Bwin;BetFair;";;;1;;;No;;;"No apuesto;Tenis Mesa;Pocker;";;;No apuesto, as¡ que nada;;;He dejado de apostar;;;5;;
26;12/11/20 23:21:18;12/11/20 23:25:56;anonymous;;;;;Hombre;;;1968;;;46780;;;"En la televisi¢n;";;;S¡;;;"S¡, en un bar con m quina de apuestas;S¡, en una casa de apuestas;";;;0;;;"No apuesto de forma online;";;;0;;;No;;;"No apuesto;";;;No apuesto, as¡ que nada;;;Sigo sin apostar, al igual que antes;;;0;;
